LEXEMA|TOKEN|LINEA
object|PR_OBJECT|1
Prueba|IDENTIFICADOR|1
def|PR_DEF|3
main|IDENTIFICADOR|3
args|IDENTIFICADOR|3
Array|IDENTIFICADOR|3
String|IDENTIFICADOR|3
Unit|IDENTIFICADOR|3
=|OP_ASIGNACION|3
val|PR_VAL|5
nombre|IDENTIFICADOR|5
=|OP_ASIGNACION|5
"Angel"|CADENA|5
val|PR_VAL|6
edad|IDENTIFICADOR|6
=|OP_ASIGNACION|6
20|ENTERO|6
val|PR_VAL|7
promedio|IDENTIFICADOR|7
=|OP_ASIGNACION|7
85.5|FLOTANTE|7
val|PR_VAL|8
estudiante|IDENTIFICADOR|8
=|OP_ASIGNACION|8
true|BOOLEANO|8
val|PR_VAL|10
numero1|IDENTIFICADOR|10
=|OP_ASIGNACION|10
10|ENTERO|10
val|PR_VAL|11
numero2|IDENTIFICADOR|11
=|OP_ASIGNACION|11
5|ENTERO|11
val|PR_VAL|13
suma|IDENTIFICADOR|13
=|OP_ASIGNACION|13
numero1|IDENTIFICADOR|13
+|OP_SUMA|13
numero2|IDENTIFICADOR|13
val|PR_VAL|14
resta|IDENTIFICADOR|14
=|OP_ASIGNACION|14
numero1|IDENTIFICADOR|14
-|OP_RESTA|14
numero2|IDENTIFICADOR|14
val|PR_VAL|15
multi|IDENTIFICADOR|15
=|OP_ASIGNACION|15
numero1|IDENTIFICADOR|15
*|OP_MULTIPLICACION|15
numero2|IDENTIFICADOR|15
val|PR_VAL|16
division|IDENTIFICADOR|16
=|OP_ASIGNACION|16
numero1|IDENTIFICADOR|16
/|OP_DIVISION|16
numero2|IDENTIFICADOR|16
val|PR_VAL|17
residuo|IDENTIFICADOR|17
=|OP_ASIGNACION|17
numero1|IDENTIFICADOR|17
%|OP_MODULO|17
numero2|IDENTIFICADOR|17
if|PR_IF|19
edad|IDENTIFICADOR|19
>=|OP_MAYOR_IGUAL|19
18|ENTERO|19
&&|OP_AND|19
estudiante|IDENTIFICADOR|19
==|OP_IGUAL|19
true|BOOLEANO|19
println|IDENTIFICADOR|20
"Mayor de edad"|CADENA|20
if|PR_IF|23
numero1|IDENTIFICADOR|23
!=|OP_DIFERENTE|23
numero2|IDENTIFICADOR|23
println|IDENTIFICADOR|24
"Son diferentes"|CADENA|24
